Class_File,Class_Name,Code_Smell,Ratings,Average,Oracle
AbortedTransactionException.java,AbortedTransactionException,Refused Bequest,"3, 5, 2",3.3,1
AbstractMetaMember.java,AbstractMetaMember,Data Class,"4, 3, 5, 5",4.3,1
AbstractSendMessageProcessor.java,AbstractSendMessageProcessor,Intensive Coupling,"3, 5",4.0,1
AbstractSentinelAspectSupport.java,AbstractSentinelAspectSupport,Long Method,"4, 5, 5",4.7,1
AbstractWriteHolder.java,AbstractWriteHolder,Feature Envy,"2, 4, 2",2.7,0
AccessControlLogEntry.java,AccessControlLogEntry,Data Class,"4, 3, 5",4.0,1
AccessTokenModel.java,AccessTokenModel,Long Parameter List,"2, 4, 1",2.3,0
AckSchedulerKey.java,AckSchedulerKey,Refused Bequest,"1, 1, 3",1.7,0
AclException.java,AclException,Data Class,"4, 4",4.0,1
AdminBrokerProcessor.java,AdminBrokerProcessor,Feature Envy,"4, 2, 4",3.3,1
AllMembersSupplier.java,AllMembersSupplier,Feature Envy,"5, 3",4.0,1
AnalysisContext.java,AnalysisContext,Shotgun Surgery,"4, 1, 1",2.0,0
AndroidGL20.java,AndroidGL20,Long Parameter List,"4, 5",4.5,1
AndroidGraphics.java,AndroidGraphics,Data Class,"5, 2, 1",2.7,0
AndroidMusic.java,AndroidMusic,Long Method,"5, 3, 4",4.0,1
AnnotationScanner.java,AnnotationScanner,Long Parameter List,"4, 1, 5",3.3,1
ApiException.java,ApiException,Refused Bequest,"2, 3",2.5,0
ApolloDataSourceFactoryBean.java,ApolloDataSourceFactoryBean,Data Class,"1, 5",3.0,0
ArgumentTokenizer.java,ArgumentTokenizer,Long Method,"5, 5, 4",4.7,1
AssemblyProcessor.java,AssemblyProcessor,Shotgun Surgery,"4, 2, 5",3.7,1
AssertUtil.java,AssertUtil,Dispersed Coupling,"1, 2",1.5,0
AttributeNameHistoWalker.java,AttributeNameHistoWalker,Long Parameter List,"3, 3",3.0,0
AutoLocker.java,AutoLocker,Feature Envy,"3, 1, 4",2.7,0
AwtCodec.java,AwtCodec,Feature Envy,"5, 4",4.5,1
AztecCode.java,AztecCode,Data Class,"5, 5, 5",5.0,1
BaseSwaggerConfig.java,BaseSwaggerConfig,Feature Envy,"5, 4, 3",4.0,1
BatchExecutor.java,BatchExecutor,Intensive Coupling,"4, 5",4.5,1
BatchResult.java,BatchResult,Data Class,"5, 3, 5",4.3,1
BeanCopier.java,BeanCopier,Intensive Coupling,"3, 3",3.0,0
BillboardParticleBatch.java,BillboardParticleBatch,Large Class,"5, 4",4.5,1
BinaryRedisPipeline.java,BinaryRedisPipeline,Long Parameter List,"2, 4, 4, 3, 5",3.6,1
BitMatrix.java,BitMatrix,Shotgun Surgery,"1, 1",1.0,0
BrokerController.java,BrokerController,Shotgun Surgery,"4, 3",3.5,1
btActivatingCollisionAlgorithm.java,btActivatingCollisionAlgorithm,Refused Bequest,"1, 4, 4",3.0,0
BuildCommand.java,BuildCommand,Data Class,"1, 3, 2",2.0,0
BytecodeInstruction.java,BytecodeInstruction,Intensive Coupling,"5, 3, 4, 5",4.3,1
CachingExecutor.java,CachingExecutor,Feature Envy,"5, 2, 1, 3",2.8,0
CameraInputController.java,CameraInputController,Shotgun Surgery,"1, 1, 5",2.3,0
CellFormulaTagHandler.java,CellFormulaTagHandler,Refused Bequest,"2, 5, 3",3.3,1
CharacterReader.java,CharacterReader,Long Parameter List,"4, 3",3.5,1
ClassicPluginStrategy.java,ClassicPluginStrategy,Feature Envy,"4, 2, 2, 1",2.3,0
ClassLoaderCommand.java,ClassLoaderCommand,Long Method,"3, 5, 5, 5",4.5,1
ClassLoaderModel.java,ClassLoaderModel,Large Class,"5, 5, 5",5.0,1
ClassReader.java,ClassReader,Long Method,"5, 5, 5, 5",5.0,1
ClassWriter.java,ClassWriter,Large Class,"4, 2, 3",3.0,0
ClientHandler.java,ClientHandler,Feature Envy,"4, 4",4.0,1
ClientHead.java,ClientHead,Shotgun Surgery,"3, 2, 2",2.3,0
Closer.java,Closer,Shotgun Surgery,"4, 4, 4",4.0,1
ClusterConnectionManager.java,ClusterConnectionManager,Intensive Coupling,"5, 2, 1",2.7,0
CmsSubjectCategoryExample.java,CmsSubjectCategoryExample,Large Class,"5, 5, 4",4.7,1
CN_QuantifierSegmenter.java,QuantifierSegmenter,Long Method,"5, 5, 5",5.0,1
CodahaleHealthChecker.java,CodahaleHealthChecker,Dispersed Coupling,"5, 5, 5",5.0,1
Code.java,Code,Feature Envy,"1, 2, 4",2.3,0
CodeCacheEventWalker.java,CodeCacheEventWalker,Dispersed Coupling,"4, 1, 2",2.3,0
CodeCacheStage.java,CodeCacheStage,Long Method,"4, 5, 5",4.7,1
CommandDecoder.java,CommandDecoder,Dispersed Coupling,"3, 5",4.0,1
CompareObjectsSettings.java,CompareObjectsSettings,Data Class,"5, 4",4.5,1
